x, y, z
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.00
0.00,0.00,0.01
0.00,0.00,0.03
0.00,0.00,0.07
0.00,0.00,0.13
0.00,0.00,0.22
0.00,0.00,0.35
0.00,0.00,0.52
0.00,0.00,0.74
0.00,0.00,1.01
0.00,0.00,1.33
0.00,0.00,1.70
0.00,0.00,2.12
0.00,0.00,2.59
0.00,0.00,3.11
0.00,0.00,3.68
0.00,0.00,4.30
0.00,0.00,4.97
0.00,0.00,5.69
0.00,0.00,6.46
0.00,0.00,7.28
0.00,0.00,8.15
0.00,0.00,9.07
0.00,0.00,10.04
0.01,0.00,11.06
0.03,0.00,12.13
0.07,0.00,13.25
0.13,0.00,14.42
0.22,0.00,15.64
0.35,0.00,16.91
0.52,0.00,18.23
0.73,0.00,19.60
0.98,0.00,21.02
1.27,0.00,22.49
1.60,0.00,24.01
1.97,0.00,25.58
2.38,0.00,27.20
2.83,0.00,28.87
3.32,0.00,30.59
3.85,0.00,32.36
4.42,0.00,34.18
5.03,0.00,36.05
5.68,0.00,37.97
6.37,0.00,39.94
7.10,0.00,41.96
7.87,0.00,44.03
8.67,0.00,46.15
9.50,0.00,48.32
10.35,0.00,50.54
11.21,0.00,52.81
12.08,0.00,55.13
12.95,0.00,57.50
13.82,0.00,59.92
14.69,0.00,62.39
15.56,0.00,64.91
16.43,0.00,67.48
17.30,0.00,70.10
18.17,0.00,72.77
19.04,0.00,75.49
19.91,0.00,78.26
20.78,0.01,81.08
21.65,0.03,83.95
22.52,0.07,86.87
23.39,0.13,89.84
24.26,0.22,92.86
25.13,0.35,95.93
26.00,0.52,99.05
26.87,0.73,102.22
27.74,0.98,105.44
28.61,1.27,108.71
29.48,1.60,112.03
30.35,1.97,115.40
31.22,2.38,118.82
32.09,2.83,122.29
32.96,3.32,125.81
33.83,3.85,129.38
34.70,4.42,133.00
35.57,5.03,136.67
36.44,5.68,140.39
37.31,6.37,144.16
38.18,7.10,147.98
39.05,7.87,151.85
39.92,8.68,155.77
40.79,9.53,159.74
41.66,10.42,163.76
42.53,11.35,167.83
43.40,12.32,171.95
44.27,13.33,176.12
45.14,14.38,180.34
46.01,15.47,184.61
46.88,16.60,188.93
47.75,17.77,193.30
48.62,18.98,197.72
49.49,20.23,202.19
50.36,21.52,206.71
51.23,22.85,211.28
52.10,24.22,215.90
52.97,25.63,220.57
53.84,27.08,225.29
54.71,28.57,230.06
55.58,30.10,234.88
56.45,31.67,239.75
57.32,33.28,244.67
58.19,34.93,249.64
59.06,36.62,254.66
59.93,38.35,259.73
60.80,40.12,264.85
61.67,41.93,270.02
62.54,43.78,275.24
63.41,45.67,280.51
64.28,47.60,285.83
65.15,49.57,291.20
66.02,51.58,296.62
66.89,53.63,302.09
67.76,55.72,307.61
68.63,57.85,313.18
69.50,60.02,318.80
70.37,62.23,324.47
71.24,64.48,330.19
72.11,66.77,335.96
72.98,69.10,341.78
73.85,71.47,347.65
74.72,73.88,353.57
75.59,76.33,359.54
76.46,78.82,365.56
77.33,81.35,371.63
78.20,83.92,377.75
79.07,86.53,383.92
79.94,89.18,390.14
80.81,91.87,396.41
81.68,94.60,402.73
82.55,97.37,409.10
83.42,100.18,415.52
84.29,103.03,421.99
85.16,105.92,428.51
86.03,108.85,435.08
86.90,111.82,441.70
87.77,114.83,448.37
88.64,117.88,455.09
89.51,120.97,461.86
90.38,124.10,468.68
91.25,127.27,475.55
92.12,130.48,482.47
92.99,133.73,489.44
93.86,137.02,496.46
94.73,140.35,503.53
95.60,143.72,510.65
96.47,147.13,517.82
97.34,150.58,525.04
98.21,154.07,532.31
99.08,157.60,539.63
99.95,161.17,547.00
100.82,164.78,554.42
101.69,168.43,561.89
102.56,172.12,569.41
103.43,175.86,576.98
104.30,179.65,584.60
105.17,183.50,592.27
106.04,187.41,599.99
106.91,191.39,607.76
107.78,195.44,615.58
108.65,199.57,623.45
109.52,203.78,631.37
110.39,208.08,639.34
111.26,212.48,647.36
112.13,216.98,655.43
113.00,221.59,663.55
113.87,226.31,671.72
114.74,231.15,679.94
115.61,236.11,688.21
116.48,241.20,696.53
117.35,246.42,704.90
118.22,251.78,713.32
119.09,257.29,721.79
119.96,262.95,730.31
120.83,268.76,738.88
121.70,274.72,747.50
122.57,280.83,756.17
123.44,287.09,764.89
124.31,293.50,773.66
125.18,300.06,782.48
126.05,306.77,791.35
126.92,313.63,800.27
127.79,320.64,809.24
128.66,327.80,818.26
129.53,335.11,827.33
130.40,342.57,836.45
131.27,350.18,845.62
132.14,357.94,854.84
133.01,365.85,864.11
133.88,373.91,873.43
134.75,382.12,882.80
135.62,390.48,892.22
136.49,398.99,901.69
137.36,407.65,911.21
138.23,416.46,920.78
139.10,425.42,930.40
139.97,434.53,940.07
140.84,443.79,949.79
141.71,453.20,959.56
142.58,462.76,969.38
143.45,472.47,979.25
144.32,482.33,989.17
145.19,492.34,999.14
146.06,502.50,1009.16
146.93,512.81,1019.23
147.80,523.27,1029.35
148.67,533.88,1039.52
149.54,544.64,1049.74
150.41,555.55,1060.01
151.28,566.61,1070.33
152.15,577.83,1080.70
153.02,589.21,1091.12
153.89,600.76,1101.59
154.76,612.48,1112.11
155.63,624.38,1122.68
156.50,636.47,1133.30
157.37,648.75,1143.97
158.24,661.23,1154.69
159.11,673.91,1165.46
159.98,686.80,1176.28
160.85,699.91,1187.15
161.72,713.24,1198.07
162.59,726.80,1209.04
163.46,740.59,1220.06
164.33,754.62,1231.13
165.20,768.89,1242.25
166.07,783.41,1253.42
166.94,798.19,1264.64
167.81,813.23,1275.91
168.68,828.54,1287.23
169.55,844.12,1298.60
170.42,859.98,1310.02
171.29,876.12,1321.49
172.16,892.54,1333.01
173.03,909.25,1344.58
173.90,926.25,1356.20
174.77,943.54,1367.87
175.64,961.12,1379.59
176.51,978.99,1391.36
177.38,997.15,1403.18
178.25,1015.60,1415.05
179.12,1034.34,1426.97
179.99,1053.37,1438.94
180.86,1072.69,1450.96
181.73,1092.30,1463.03
182.60,1112.20,1475.15
183.47,1132.39,1487.32
184.34,1152.87,1499.54
185.21,1173.64,1511.81
186.08,1194.70,1524.13
186.95,1216.05,1536.50
187.82,1237.69,1548.92
